,Store Name,State,City,Address,Estimated Population,Per Capita Income,Malls,buyers count,potential location,Norm_Potential,Norm_Stores,Priority Index
0,"Zudio - VRK One, Adoni",Andhra Pradesh,Adoni,"Plot No 90 & 91, Ground Floor & First Floor, Bheemas Sarovaram, Sadashiva Nagar, Sadapuram Gram Panchayathi, Mandagiri Village, Aspari Road, Kurnool, Adoni - 518302",261000,219518,1,130500,0.2,0.002012072,0.274074074,-0.272062002
1,"Zudio - Rudrampeta, Anantapur",Andhra Pradesh,Anantapur,"Near SUNRAY SVR Hospital, Rudrampeta, Kalyanadurgam Road, Anantapur - 515004",498089,219518,1,249044.5,53.6,0.539235412,0.274074074,0.265161338
2,"Zudio - Court Road, Anantapur",Andhra Pradesh,Anantapur,"Adimurthy Nagar, Court Road, Gulzarpet, Anantapur - 515001",498089,219518,1,249044.5,53.6,0.539235412,0.274074074,0.265161338
3,"ZUDIO - Chirala, Andhra Pradesh",Andhra Pradesh,Chirala,"Chirala Main Road, Near Vishal Mega Mart, Near Hyma Hospital, Chirala - 523155",229000,219518,1,114500,0.2,0.002012072,0.274074074,-0.272062002
4,"ZUDIO - Tirupathi Road, Chittoor",Andhra Pradesh,Chittoor,"22-270, 271, Tirupati Road, Chittoor - 517001",248000,219518,1,124000,0.2,0.002012072,0.274074074,-0.272062002
5,"ZUDIO - CMR Central, Eluru",Andhra Pradesh,Eluru,"CMR Central and Multiplex Mall, Near New bus stand, Ameenapet, Eluru - 534006",355000,219518,1,177500,0.2,0.002012072,0.274074074,-0.272062002
6,"Zudio - RLDA Complex, Guntakal",Andhra Pradesh,Guntakal,"Sy No 146A & A3, Block No C, Ground Floor To Second Floor, Railway Station Road, Near Lord Ganesh Temple, Anantapur, Guntakal - 515801",178000,219518,1,89000,0.2,0.002012072,0.274074074,-0.272062002
7,"ZUDIO - Brindavan Gardens, Guntur",Andhra Pradesh,Guntur,"5th Line, Brindavan gardens, Main Road, Guntur - 522006",940205,219518,1,470102.5,23.2,0.233400402,0.274074074,-0.040673672
8,"Zudio - Ring Road, Guntur",Andhra Pradesh,Guntur,"Near D Mart, Ring Road, Navabharath Nagar, Guntur - 522006",940205,219518,1,470102.5,23.2,0.233400402,0.274074074,-0.040673672
9,"ZUDIO ÃÂ¢ÃÂÃÂ V.D. ROAD, HINDUPURAM",Andhra Pradesh,Hindupuram,"No-7-7-4, V.D. Road, Hindupuram - 515201",214000,219518,1,107000,0.2,0.002012072,0.274074074,-0.272062002
10,"ZUDIO - JS Shopping Mall, Kadapa",Andhra Pradesh,Kadapa,"Near KFC, 42/347-120, Simhapuri Colony, Revenue Ward No - 42, Near New Bus Stand, Kadapa - 516004",214000,219518,1,107000,0.2,0.002012072,0.274074074,-0.272062002
11,"Zudio - Kopanna Complex, Kakinada",Andhra Pradesh,Kakinada,"D.No 2, 1-60, Koppana Complex, Bhanugudi Junction, Dwaraka Nagar, Kakinada - 533003",552000,219518,1,276000,0.2,0.002012072,0.274074074,-0.272062002
12,"ZUDIO - Sidhartha Nagar, Kakinada",Andhra Pradesh,Kakinada,"Next to D Mart, Sri Vidya Colony, Shantinagar, Revenue Ward, Kakinada - 533002",552000,219518,1,276000,0.2,0.002012072,0.274074074,-0.272062002
13,"Zudio -TGV Anantha City Square Mall, Kurnool",Andhra Pradesh,Kurnool,"(City Square Mall), Near Rajvihar Circle, Beside Shri Rama Theaters, Kurnool - 518004",745946,219518,1,372973,67.8,0.682092555,0.274074074,0.408018481
14,"Zudio -Dargamitta, Nellore",Andhra Pradesh,Nellore,"D.No.24/2/436/2, Saraswati Nagar, KVR Petrol Bunk, Dargamitta, Nellore - 524003",837660,219518,1,418830,96.2,0.967806841,0.274074074,0.693732767
15,"Zudio -Bhagyanagar, Ongole",Andhra Pradesh,Ongole,"1st Line, Tunk Road, Bhagyanagar, Ongole - 523001",294000,219518,1,147000,0.2,0.002012072,0.274074074,-0.272062002
16,"ZUDIO - CV Mall, Ongole",Andhra Pradesh,Ongole,"CV Mall, S. No. 117, Guntur Road, Ongole Prakasam Dist, Ongole - 523001",294000,219518,1,147000,0.2,0.002012072,0.274074074,-0.272062002
17,"ZUDIO - Payakaraopeta Town Rd, Payakaraopeta",Andhra Pradesh,Payakaraopeta,"Payakaraopeta, Pet Main Road, Opp. Indian Overseas Bank, Payakaraopeta - 531126",40000,219518,1,20000,0.2,0.002012072,0.274074074,-0.272062002
18,"Zudio - Kalyanamandapm, Pithapuram",Andhra Pradesh,Pithapuram,"Revenue Ward No 11, Near Bharat Petrol Bunk, Kathipudi Pamarru Road, Kalyanamandapm, Pithapuram - 533450",81000,219518,1,40500,0.2,0.002012072,0.274074074,-0.272062002
19,"Zudio - Gandhipuram, Rajahmahendravaram",Andhra Pradesh,Rajahmundry,"75-8-11, Near Naveen Multispeciality Hospital, Prakasam Nagar, Rajahmundry - 533103",581376,219518,1,290688,25.8,0.259557344,0.274074074,-0.01451673
20,"Zudio - Kinnera Complex, Srikakulam",Andhra Pradesh,Srikakulam,"Rice millers Association, Opp. Kinnera Theatre, Landmark Mithayalama Temple, L.B.S Colony, Srikakulam - 532001",207000,219518,1,103500,0.2,0.002012072,0.274074074,-0.272062002
21,"Zudio - Medapti's Grand Mall, Tadepalligudem",Andhra Pradesh,Tadepalligudem,"Plot No 10-37-27/1AB, KN Road, Bhagyalakshmi Peta, West Godavari, Near Jaya Laxmi Theater , Tadepalligudem - 400051 , Andhra Pradesh",207000,219518,1,103500,0.2,0.002012072,0.274074074,-0.272062002
22,"ZUDIO - RENIGUNTA ROAD, TIRUPATI",Andhra Pradesh,Tirupati,"D. No. 22-11-40, Nr Ankur Hospital, Beside Balaji Timber Depot, Renigunta Road, Tirupati - 517501",775455,219518,1,387727.5,73.2,0.736418511,0.274074074,0.462344437
23,"Zudio - Karkambadi Road, Tirupati",Andhra Pradesh,Tirupati,"22-4-50/3, Bank Employees Colony, Karakambadi Road, Mangalam, Tirupati - 517507",775455,219518,1,387727.5,73.2,0.736418511,0.274074074,0.462344437
24,"ZUDIO ÃÂ¢ÃÂÃÂ KVC ARCADE, TIRUPATI",Andhra Pradesh,Tirupati,"KVC Arcade, 13-1, Vani Nagar, Avilala, RC Road, Tirupati - 517501",775455,219518,1,387727.5,73.2,0.736418511,0.274074074,0.462344437
25,"Zudio - Bricks And Palms, Vijayawada",Andhra Pradesh,Vijayawada,"Bricks & Palms, 36-14-3/2, Shanti Nagar, Mogalrajapuram St. No. 1, Vijayawada - 520010",2290780,219518,1,1145390,68.2,0.6861167,0.274074074,0.412042626
26,"Zudio - VSN Mall, Vijayawada",Andhra Pradesh,Vijayawada,"Ground & 1st floor, Siddhartha Nagar, Benz Circle, Vijayawada - 520008",2290780,219518,1,1145390,68.2,0.6861167,0.274074074,0.412042626
27,"Zudio - Tadepalli, Vijayawada",Andhra Pradesh,Vijayawada,"R S No 80 /3, Near MVR Enterprise, Vijayawada Highway, Tadepalli, Vijayawada - 522501",2290780,219518,1,1145390,68.2,0.6861167,0.274074074,0.412042626
28,"Zudio - Gollapudi, Vijayawada",Andhra Pradesh,Vijayawada,"Plot No 186/2A2, Santhi Nagar, Gollapudi, Canal Road, NH 65, Near Padmavathi Function Hall, Krishna, Vijayawada - 521225",2290780,219518,1,1145390,68.2,0.6861167,0.274074074,0.412042626
29,"ZUDIO - BHUPATHI SURYA CENTRAL MALL, VISAKHAPATNAM",Andhra Pradesh,Visakhapatnam,"P7GX+MQJ, Railway New Colony Rd, Mandavaripeta, P & T Colony, Dondaparthy, Railway New Colony, Visakhapatnam - 530016",2385110,219518,1,1192555,66.2,0.665995976,0.274074074,0.391921902
30,"ZUDIO - Vizag (WS), Visakhapatnam",Andhra Pradesh,Visakhapatnam,"R K Estate, 10ÃÂ¢ÃÂÃÂ50-58/1, Ram Nagar, Visakhapatnam - 530001",2385110,219518,1,1192555,66.2,0.665995976,0.274074074,0.391921902
31,"Zudio - VMR Central Mall, Visakhapatnam",Andhra Pradesh,Visakhapatnam,"2-64, Steel Plant, General Hospital Road, Aganampudi, Visakhapatnam - 530053",2385110,219518,1,1192555,66.2,0.665995976,0.274074074,0.391921902
32,"Zudio - KSR Prime, Visakhapatnam",Andhra Pradesh,Visakhapatnam,"Fairfield by Marriott, KSR Prime, R & B Junction , Visakhapatnam - 530018 , Andhra Pradesh",2385110,219518,1,1192555,66.2,0.665995976,0.274074074,0.391921902
33,"Zudio - Abhiram Ts Imperio, Visakhapatnam",Andhra Pradesh,Visakhapatnam,"Abhiram TS Imperio, Near Railway Station Road, Kurmannapalem , Visakhapatnam - 530046 , Andhra Pradesh",2385110,219518,1,1192555,66.2,0.665995976,0.274074074,0.391921902
34,"Zudio - Commercial Complex, Vishakhapatnam",Andhra Pradesh,Visakhapatnam,"Commercial Complex, Near Commercial Complex, Pendurathi, Visakhapatnam - 531173",2385110,219518,1,1192555,66.2,0.665995976,0.274074074,0.391921902
35,"ZUDIO - Fort City Centre Mall, Vizianagaram",Andhra Pradesh,Vizianagaram,"Fort City Center Mall, Balaji Nagar, Railway Station Road, Vizianagaram - 535002",338000,219518,1,169000,0.2,0.002012072,0.274074074,-0.272062002
36,"Zudio - Lorven Plaza, Vizianagaram",Andhra Pradesh,Vizianagaram,"Datta estates commercial complex, 17-11-12, Fort Road, Fort Area, Vizianagaram - 535002",338000,219518,1,169000,0.2,0.002012072,0.274074074,-0.272062002
37,"Zudio - JP Road, Bhimavaram",Andhra Pradesh,West Godavari,"Plot No 2-5-23, Juvvalapalem Road, Near Jai Srinivasa Hospital, Sivaraopeta, Bhimavaram, West Godavari - 534202",207000,219518,1,103500,0.2,0.002012072,0.274074074,-0.272062002
